fonte,run_id,id,nome,latitude,longitude,precipitacao_24h_mm
APAC,20260819T213416Z,1201,Nazaré da Mata - Fazenda Sertãozinho*,-7.799000000000000,-35.263000000000000,0.0
APAC,20260819T213416Z,1477,Sítio dos Nunes - Flores [Sítio dos Nunes]-APAC,-8.046360000000000,-37.832920000000000,1.0
APAC,20260819T213416Z,1458,Paranatama - Fonte Cristal Plus - APAC,-8.922600000000000,-36.661430000000000,0.0
APAC,20260819T213416Z,1571,[Eren São José] - APAC - Frei Miguelinho,-7.942220000000000,-35.924650000000000,0.0
APAC,20260819T213416Z,1473,Itaíba - Garagem Municipal - APAC,-8.940370000000000,-37.411530000000000,0.0
APAC,20260819T213416Z,1584,GARANHUNS - GARANHUNS [UFRPE] - APAC,-8.910950000000000,-36.493570000000000,0.0
APAC,20260819T213416Z,1239,águas belas - Garanhuns*,-9.128000000000000,-37.037000000000000,0.0
APAC,20260819T213416Z,1290,Petrolina - Gercino Coelho*,-9.392410000000000,-40.508270000000000,0.0
APAC,20260819T213416Z,1507,ARARIPINA - GERGILIN - APAC,-7.808306000000000,-40.487500000000000,0.0
APAC,20260819T213416Z,1383,Itambé - Ginásio Municipal - APAC,-7.406230000000000,-35.113030000000000,0.0
APAC,20260819T213416Z,1185,Caruaru - Gonçalves Ferreira*,-8.258000000000000,-35.884000000000000,0.0
APAC,20260819T213416Z,1587,GRANITO - GRANITO [HOSPITAL] - APAC,-7.713630000000000,-39.615180000000000,0.2
APAC,20260819T213416Z,1388,Paudalho - Guadalajara - APAC,-7.955180000000000,-35.106720000000000,0.0
APAC,20260819T213416Z,1509,TERRA NOVA - GUARANI - APAC,-8.079528000000000,-39.393917000000000,0.4
APAC,20260819T213416Z,1397,Aliança - Horta Comunitária - APAC,-7.609030000000000,-35.234670000000000,0.0
APAC,20260819T213416Z,1242,Barreiros - Hospital Municipal,-8.807000000000000,-35.186000000000000,5.32
APAC,20260819T213416Z,1399,Barreiros - Hospital Municipal - APAC,-8.806440000000000,-35.186140000000000,0.82
APAC,20260819T213416Z,1411,Jaqueira - Hospital Municipal - APAC,-8.732060000000000,-35.803920000000000,1.38
APAC,20260819T213416Z,1505,IATI - IATI - APAC,-9.051381000000000,-36.857439000000000,0.0
APAC,20260819T213416Z,1582,Chacara - Ibirajuba [Chacara] - APAC,-8.572160000000000,-36.166790000000000,0.0
APAC,20260819T213416Z,1565,INAJÃ - INAJÃ¡ [ESTÃ¡DIO MUNICIPAL] - APAC,-8.904410000000000,-37.828290000000000,0.0
APAC,20260819T213416Z,1588,INGAZEIRA - INGAZEIRA [COMPESA] - APAC,-7.678840000000000,-37.459950000000000,3.04
APAC,20260819T213416Z,1438,São Vicente Ferrer - IPA - APAC,-7.590830000000000,-35.489780000000000,0.0
APAC,20260819T213416Z,1496,Serrita - Ipueira - APAC,-7.846140000000000,-39.459610000000000,0.0
APAC,20260819T213416Z,1503,ITACURUBA - ITACURUBA - APAC,-8.726222000000000,-38.689917000000000,0.0
APAC,20260819T213416Z,1385,Usina Maçari - APAC - Itaquitinga,-7.666670000000000,-35.123060000000000,0.0
APAC,20260819T213416Z,1581,OURICURI - JACARÃ‰ - APAC,-8.076111000000000,-40.216417000000000,0.0
APAC,20260819T213416Z,1197,Escada - Jaguaribe*,-8.369000000000000,-35.241000000000000,0.0
APAC,20260819T213416Z,1212,Paulista - Janga (Costa Azul)*,-7.954000000000000,-34.830000000000000,0.0
APAC,20260819T213416Z,1211,Paulista - Janga (Ponte)*,-7.918000000000000,-34.829000000000000,0.0
APAC,20260819T213416Z,1208,Palmares - Japaranduba*,-8.691000000000000,-35.604000000000000,0.4
APAC,20260819T213416Z,1280,Jaqueira - Jaqueira*,-8.732800000000000,-35.797300000000000,0.0
APAC,20260819T213416Z,1231,Jaqueira - Jaqueira*,-8.731000000000000,-35.804000000000000,0.0
APAC,20260819T213416Z,1204,Olinda - Jardim Fragoso*,-7.984000000000000,-34.853000000000000,0.0
APAC,20260819T213416Z,1223,Camaragibe - Jardim Primavera*,-8.012000000000000,-34.969000000000000,0.2
APAC,20260819T213416Z,1295,Petrolina - Jardim São Paulo*,-9.360900000000000,-40.540310000000000,0.0
APAC,20260819T213416Z,1576,JATAÃšBA - JATAÃºBA [CENTRO] - APAC,-7.985260000000000,-36.501620000000000,0.0
APAC,20260819T213416Z,1483,Santa Cruz da Baixa Verde - Jatiuca - APAC,-7.888390000000000,-38.197000000000000,0.0
APAC,20260819T213416Z,1568,Jatobá - Jatobá - APAC,-9.175720000000000,-38.257690000000000,0.0
APAC,20260819T213416Z,1301,Petrolina - José e Maria*,-9.370140000000000,-40.492440000000000,0.0
APAC,20260819T213416Z,1518,JUCATI - JUCATI - APAC,-8.698208000000000,-36.467869000000000,0.0
APAC,20260819T213416Z,1283,Jurema - Jurema*,-8.720000000000000,-36.143000000000000,0.0
APAC,20260819T213416Z,1233,Lagoa Grande - Jutaí*,-8.635000000000000,-40.239000000000000,0.0
APAC,20260819T213416Z,1249,Ibimirim - Lages*,-8.533000000000000,-37.697000000000000,0.0
APAC,20260819T213416Z,1462,Lagoa do Ouro - LAGOA DO OURO - APAC,-9.120550000000000,-36.462390000000000,0.0
APAC,20260819T213416Z,1593,LAGOA GRANDE - LAGOA GRANDE [ANTENA OI] - APAC,-8.997090000000000,-40.270580000000000,0.0
APAC,20260819T213416Z,1497,DORMENTES - LAGOAS - APAC,-8.512667000000000,-40.416528000000000,0.0
APAC,20260819T213416Z,1194,Catende - Laje Grande*,-8.598000000000000,-35.766000000000000,15.27
APAC,20260819T213416Z,1272,Vitória de Santo Antão - Livramento*,-8.121000000000000,-35.298000000000000,0.0
APAC,20260819T213416Z,1516,MARAIAL - MARAIAL - APAC,-8.782778000000000,-35.816278000000000,2.06
APAC,20260819T213416Z,1210,Paulista - Maria Farinha*,-7.853000000000000,-34.836000000000000,0.0
APAC,20260819T213416Z,1491,Parnamirim - Matias - APAC,-8.175310000000000,-40.052500000000000,0.0
APAC,20260819T213416Z,1475,Sertânia - Moderna - APAC,-8.429570000000000,-37.409610000000000,0.0
APAC,20260819T213416Z,1175,Jaboatão dos Guararapes - Muribeca*,-8.157000000000000,-34.968000000000000,0.0
APAC,20260819T213416Z,1500,FLORESTA - NAZARE DO PICO - APAC,-8.320957000000000,-38.411878000000000,0.59
APAC,20260819T213416Z,1386,Glória do Goitá - Nissan Miojo - APAC,-8.001050000000000,-35.284660000000000,0.0
APAC,20260819T213416Z,1266,São Lourenço da Mata - Nossa Senhora da Luz*,-8.037000000000000,-35.100000000000000,0.0
APAC,20260819T213416Z,1495,Cabrobó - Novo Murici - APAC,-8.340330000000000,-39.135190000000000,0.0
