identificador,tipo,entidade,ano,coluna,quantidade_valores_unicos,dtype_inferido
chikungunya_2024,fato,chikungunya,2024.0,CS_ESCOL_N,11,inteiro
chikungunya_2024,fato,chikungunya,2024.0,SG_UF,1,inteiro
chikungunya_2024,fato,chikungunya,2024.0,ID_MN_RESI,1,inteiro
chikungunya_2024,fato,chikungunya,2024.0,ID_RG_RESI,1,inteiro
chikungunya_2024,fato,chikungunya,2024.0,ID_DISTRIT,8,inteiro
chikungunya_2024,fato,chikungunya,2024.0,ID_BAIRRO,88,inteiro
chikungunya_2024,fato,chikungunya,2024.0,NM_BAIRRO,88,texto
chikungunya_2024,fato,chikungunya,2024.0,ID_LOGRADO,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,NM_LOGRADO,1983,texto
chikungunya_2024,fato,chikungunya,2024.0,NU_CEP,837,inteiro
chikungunya_2024,fato,chikungunya,2024.0,CS_ZONA,4,inteiro
chikungunya_2024,fato,chikungunya,2024.0,ID_PAIS,1,inteiro
chikungunya_2024,fato,chikungunya,2024.0,DT_INVEST,292,texto
chikungunya_2024,fato,chikungunya,2024.0,ID_OCUPA_N,49,inteiro
chikungunya_2024,fato,chikungunya,2024.0,FEBRE,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,MIALGIA,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,CEFALEIA,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,EXANTEMA,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,VOMITO,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,NAUSEA,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,DOR_COSTAS,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,CONJUNTVIT,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,ARTRITE,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,ARTRALGIA,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,PETEQUIA_N,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,LEUCOPENIA,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,LACO,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,DOR_RETRO,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,DIABETES,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,HEMATOLOG,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,HEPATOPAT,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,RENAL,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,HIPERTENSA,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,ACIDO_PEPT,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,AUTO_IMUNE,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,DT_CHIK_S1,175,texto
chikungunya_2024,fato,chikungunya,2024.0,DT_CHIK_S2,8,texto
chikungunya_2024,fato,chikungunya,2024.0,DT_PRNT,7,texto
chikungunya_2024,fato,chikungunya,2024.0,RES_CHIKS1,4,inteiro
chikungunya_2024,fato,chikungunya,2024.0,RES_CHIKS2,3,inteiro
chikungunya_2024,fato,chikungunya,2024.0,RESUL_PRNT,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,DT_SORO,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,RESUL_SORO,1,inteiro
chikungunya_2024,fato,chikungunya,2024.0,DT_NS1,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,RESUL_NS1,1,inteiro
chikungunya_2024,fato,chikungunya,2024.0,DT_VIRAL,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,RESUL_VI_N,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,DT_PCR,73,texto
chikungunya_2024,fato,chikungunya,2024.0,RESUL_PCR_,3,inteiro
chikungunya_2024,fato,chikungunya,2024.0,SOROTIPO,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,HISTOPA_N,1,inteiro
chikungunya_2024,fato,chikungunya,2024.0,IMUNOH_N,1,inteiro
chikungunya_2024,fato,chikungunya,2024.0,HOSPITALIZ,3,inteiro
chikungunya_2024,fato,chikungunya,2024.0,DT_INTERNA,109,texto
chikungunya_2024,fato,chikungunya,2024.0,UF,1,inteiro
chikungunya_2024,fato,chikungunya,2024.0,MUNICIPIO,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,TPAUTOCTO,3,inteiro
chikungunya_2024,fato,chikungunya,2024.0,COUFINF,1,inteiro
chikungunya_2024,fato,chikungunya,2024.0,COPAISINF,1,inteiro
chikungunya_2024,fato,chikungunya,2024.0,COMUNINF,1,inteiro
chikungunya_2024,fato,chikungunya,2024.0,CODISINF,4,inteiro
chikungunya_2024,fato,chikungunya,2024.0,CO_BAINF,14,inteiro
chikungunya_2024,fato,chikungunya,2024.0,NOBAIINF,14,texto
chikungunya_2024,fato,chikungunya,2024.0,CLASSI_FIN,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,CRITERIO,3,inteiro
chikungunya_2024,fato,chikungunya,2024.0,DOENCA_TRA,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,CLINC_CHIK,2,inteiro
chikungunya_2024,fato,chikungunya,2024.0,EVOLUCAO,4,inteiro
chikungunya_2024,fato,chikungunya,2024.0,DT_OBITO,15,texto
chikungunya_2024,fato,chikungunya,2024.0,DT_ENCERRA,220,texto
chikungunya_2024,fato,chikungunya,2024.0,ALRM_HIPOT,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,ALRM_PLAQ,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,ALRM_VOM,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,ALRM_SANG,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,ALRM_HEMAT,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,ALRM_ABDOM,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,ALRM_LETAR,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,ALRM_HEPAT,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,ALRM_LIQ,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,DT_ALRM,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GRAV_PULSO,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GRAV_CONV,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GRAV_ENCH,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GRAV_INSUF,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GRAV_TAQUI,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GRAV_EXTRE,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GRAV_HIPOT,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GRAV_HEMAT,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GRAV_MELEN,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GRAV_METRO,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GRAV_SANG,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GRAV_AST,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GRAV_MIOC,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GRAV_CONSC,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GRAV_ORGAO,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,DT_GRAV,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,MANI_HEMOR,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,EPISTAXE,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,GENGIVO,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,METRO,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,PETEQUIAS,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,HEMATURA,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,SANGRAM,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,LACO_N,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,PLASMATICO,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,EVIDENCIA,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,PLAQ_MENOR,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,CON_FHD,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,COMPLICA,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 126,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 127,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 128,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 129,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 130,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 131,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 132,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 133,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 134,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 135,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 136,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 137,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 138,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 139,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 140,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 141,0,vazio
chikungunya_2024,fato,chikungunya,2024.0,Unnamed: 142,0,vazio
chikungunya_2023,fato,chikungunya,2023.0,NU_NOTIFIC,1551,inteiro
chikungunya_2023,fato,chikungunya,2023.0,TP_NOT,1,inteiro
