codigo_bairro,inicio_indice,inicio_ano,melhor_posicao_antes_do_inicio,semanas_antecedencia_melhor_posicao,posicao_na_semana_de_inicio
744,667,2025,48.0,1,70.0
744,675,2025,20.0,1,55.0
752,524,2023,14.0,1,3.0
752,549,2023,22.0,1,55.0
752,552,2023,7.0,1,6.0
752,558,2023,16.0,3,19.0
752,560,2023,13.0,1,9.0
752,563,2023,2.0,1,4.0
752,565,2023,1.0,1,12.0
752,570,2023,1.0,4,5.0
752,584,2024,5.0,3,51.0
752,588,2024,1.0,1,10.0
752,594,2024,1.0,2,3.0
752,598,2024,2.0,1,2.0
752,601,2024,2.0,4,6.0
752,608,2024,4.0,3,29.0
752,620,2024,39.0,4,41.0
752,622,2024,9.0,1,3.0
752,627,2025,6.0,4,30.0
752,631,2025,2.0,2,13.0
752,657,2025,54.0,4,34.0
752,660,2025,18.0,1,33.0
752,668,2025,53.0,3,71.0
760,538,2023,42.0,2,12.0
760,583,2024,20.0,3,50.0
760,592,2024,43.0,4,48.0
760,596,2024,19.0,3,36.0
760,609,2024,67.0,2,70.0
760,621,2024,19.0,4,65.0
760,648,2025,32.0,4,45.0
760,667,2025,64.0,4,78.0
760,671,2025,48.0,2,74.0
779,584,2024,54.0,4,62.0
779,587,2024,51.0,2,69.0
779,589,2024,34.0,1,51.0
779,594,2024,12.0,3,19.0
779,596,2024,6.0,1,15.0
779,600,2024,1.0,3,10.0
779,603,2024,1.0,4,53.0
779,608,2024,3.0,1,13.0
779,626,2025,60.0,4,91.0
779,663,2025,37.0,1,27.0
779,674,2025,70.0,4,83.0
78,538,2023,3.0,4,11.0
78,553,2023,29.0,2,29.0
78,562,2023,13.0,4,37.0
78,564,2023,13.0,1,21.0
78,592,2024,80.0,4,77.0
78,615,2024,58.0,2,73.0
78,619,2024,18.0,3,40.0
78,646,2025,28.0,4,41.0
78,649,2025,6.0,2,34.0
78,653,2025,12.0,3,29.0
78,657,2025,21.0,3,51.0
787,583,2024,41.0,3,72.0
787,602,2024,48.0,4,79.0
787,608,2024,12.0,4,51.0
787,620,2024,53.0,4,90.0
787,631,2025,35.0,4,16.0
787,648,2025,38.0,1,72.0
787,663,2025,45.0,2,82.0
787,670,2025,40.0,4,54.0
795,581,2024,24.0,1,21.0
795,589,2024,23.0,2,48.0
795,652,2025,10.0,4,11.0
795,655,2025,9.0,2,19.0
795,657,2025,9.0,4,12.0
795,659,2025,9.0,3,46.0
809,536,2023,66.0,4,33.0
809,553,2023,22.0,4,43.0
809,578,2024,30.0,3,78.0
809,585,2024,36.0,4,38.0
809,588,2024,15.0,2,25.0
809,606,2024,27.0,1,60.0
809,608,2024,13.0,1,16.0
809,619,2024,9.0,2,28.0
809,661,2025,32.0,4,58.0
809,667,2025,33.0,4,86.0
817,556,2023,17.0,1,13.0
817,562,2023,6.0,2,16.0
817,581,2024,53.0,1,57.0
817,583,2024,20.0,1,56.0
817,585,2024,15.0,1,37.0
817,587,2024,15.0,3,41.0
817,597,2024,63.0,4,78.0
817,627,2025,7.0,1,47.0
817,629,2025,4.0,1,10.0
817,631,2025,4.0,3,5.0
817,658,2025,44.0,3,77.0
817,665,2025,3.0,2,15.0
825,568,2023,12.0,2,32.0
825,579,2024,4.0,2,10.0
825,581,2024,1.0,1,8.0
825,584,2024,1.0,4,9.0
825,603,2024,32.0,4,66.0
825,605,2024,14.0,1,9.0
825,609,2024,6.0,3,44.0
825,630,2025,18.0,1,19.0
825,647,2025,57.0,1,7.0
825,658,2025,47.0,4,93.0
825,664,2025,39.0,2,71.0
825,667,2025,26.0,1,47.0
825,671,2025,34.0,3,29.0
825,674,2025,19.0,2,57.0
833,574,2024,11.0,4,8.0
833,609,2024,33.0,3,48.0
833,614,2024,4.0,3,81.0
833,655,2025,41.0,4,73.0
833,659,2025,60.0,1,75.0
833,664,2025,41.0,4,72.0
833,666,2025,7.0,1,33.0
841,541,2023,3.0,4,1.0
841,558,2023,4.0,4,9.0
841,566,2023,7.0,3,11.0
841,570,2023,2.0,3,18.0
841,575,2024,7.0,4,52.0
841,578,2024,3.0,1,5.0
841,586,2024,19.0,4,38.0
841,589,2024,13.0,1,32.0
841,591,2024,12.0,1,4.0
841,596,2024,6.0,3,13.0
841,598,2024,7.0,4,10.0
841,618,2024,14.0,3,24.0
841,642,2025,2.0,1,2.0
841,655,2025,34.0,4,82.0
841,667,2025,45.0,2,39.0
850,554,2023,3.0,1,8.0
850,560,2023,5.0,3,19.0
850,570,2023,14.0,3,57.0
850,573,2023,17.0,2,19.0
850,589,2024,80.0,3,69.0
850,599,2024,18.0,4,69.0
850,663,2025,50.0,4,70.0
850,667,2025,6.0,1,33.0
850,669,2025,6.0,3,14.0
850,671,2025,14.0,2,20.0
86,553,2023,75.0,3,74.0
86,558,2023,3.0,4,34.0
86,560,2023,9.0,1,2.0
86,582,2024,45.0,1,80.0
86,588,2024,20.0,4,47.0
86,607,2024,26.0,4,35.0
86,613,2024,12.0,1,47.0
86,615,2024,12.0,3,18.0
