codigo_bairro,inicio_indice,inicio_ano,melhor_posicao_antes_do_inicio,semanas_antecedencia_melhor_posicao,posicao_na_semana_de_inicio
493,675,2025,21.0,2,52.0
507,558,2023,40.0,3,63.0
507,582,2024,7.0,1,41.0
507,584,2024,3.0,1,21.0
507,586,2024,3.0,3,57.0
507,606,2024,10.0,2,36.0
507,616,2024,22.0,4,27.0
507,657,2025,40.0,3,84.0
507,661,2025,32.0,1,47.0
507,665,2025,47.0,4,70.0
507,668,2025,32.0,2,43.0
51,582,2024,28.0,3,35.0
51,590,2024,56.0,3,69.0
51,593,2024,26.0,1,31.0
51,619,2024,54.0,2,70.0
51,644,2025,9.0,1,16.0
51,650,2025,7.0,4,33.0
51,656,2025,15.0,4,74.0
51,660,2025,25.0,2,81.0
51,664,2025,57.0,3,70.0
51,667,2025,55.0,2,73.0
515,570,2023,42.0,2,66.0
515,598,2024,27.0,4,34.0
515,610,2024,72.0,4,87.0
515,657,2025,21.0,1,30.0
515,667,2025,20.0,4,59.0
515,675,2025,33.0,1,47.0
523,584,2024,69.0,3,76.0
523,618,2024,6.0,4,55.0
523,620,2024,17.0,1,23.0
523,655,2025,3.0,2,6.0
523,657,2025,3.0,4,6.0
523,659,2025,2.0,1,7.0
523,664,2025,2.0,1,17.0
523,667,2025,2.0,4,11.0
523,669,2025,10.0,3,19.0
531,582,2024,79.0,1,89.0
531,584,2024,22.0,1,39.0
531,624,2024,63.0,4,90.0
531,642,2025,19.0,2,38.0
531,658,2025,50.0,2,70.0
531,667,2025,1.0,1,19.0
531,670,2025,1.0,4,10.0
531,674,2025,1.0,2,27.0
531,676,2025,1.0,4,78.0
540,581,2024,35.0,4,28.0
540,584,2024,10.0,1,18.0
540,588,2024,7.0,2,28.0
540,624,2024,67.0,2,67.0
540,656,2025,37.0,4,23.0
540,658,2025,5.0,1,11.0
540,661,2025,2.0,1,9.0
540,670,2025,25.0,2,77.0
540,678,2025,63.0,4,27.0
558,584,2024,55.0,1,44.0
558,618,2024,77.0,3,78.0
558,663,2025,39.0,2,47.0
558,667,2025,35.0,3,46.0
558,669,2025,10.0,1,31.0
558,671,2025,4.0,1,34.0
566,572,2023,30.0,3,86.0
566,584,2024,69.0,2,67.0
566,587,2024,37.0,1,57.0
566,616,2024,23.0,3,9.0
566,618,2024,3.0,1,3.0
566,621,2024,3.0,4,6.0
566,623,2024,4.0,1,22.0
566,644,2025,15.0,3,45.0
566,658,2025,36.0,1,65.0
566,663,2025,15.0,1,30.0
566,671,2025,23.0,4,64.0
574,525,2023,1.0,2,7.0
574,558,2023,58.0,4,79.0
574,580,2024,29.0,2,31.0
574,582,2024,1.0,1,29.0
574,588,2024,3.0,4,32.0
574,613,2024,39.0,2,86.0
574,617,2024,18.0,3,71.0
574,623,2024,8.0,4,16.0
574,629,2025,10.0,3,16.0
574,653,2025,9.0,4,27.0
574,670,2025,62.0,4,63.0
574,673,2025,28.0,1,59.0
582,584,2024,59.0,4,86.0
582,586,2024,29.0,1,33.0
582,588,2024,24.0,1,35.0
582,590,2024,24.0,3,28.0
582,597,2024,13.0,4,40.0
582,608,2024,39.0,3,88.0
582,616,2024,4.0,4,17.0
582,656,2025,6.0,3,65.0
582,659,2025,9.0,1,37.0
582,662,2025,9.0,4,41.0
582,665,2025,1.0,1,21.0
582,667,2025,1.0,3,3.0
582,669,2025,3.0,2,6.0
582,671,2025,3.0,4,2.0
590,563,2023,58.0,1,90.0
590,567,2023,4.0,3,11.0
