id_semana_epi,agravo,ano_epidemiologico,semana_epidemiologica,is_observado,casos,banda_80_inferior,banda_80_superior,banda_95_inferior,banda_95_superior
202246,DENGUE,2022,46,True,39,,,,
202247,DENGUE,2022,47,True,24,,,,
202248,DENGUE,2022,48,True,45,,,,
202249,DENGUE,2022,49,True,20,,,,
202250,DENGUE,2022,50,True,30,,,,
202251,DENGUE,2022,51,True,44,,,,
202252,DENGUE,2022,52,True,33,,,,
202301,DENGUE,2023,1,True,39,,,,
202302,DENGUE,2023,2,True,35,,,,
202303,DENGUE,2023,3,True,51,,,,
202304,DENGUE,2023,4,True,65,,,,
202305,DENGUE,2023,5,True,53,,,,
202306,DENGUE,2023,6,True,37,,,,
202307,DENGUE,2023,7,True,44,,,,
202308,DENGUE,2023,8,True,26,,,,
202309,DENGUE,2023,9,True,103,,,,
202310,DENGUE,2023,10,True,70,,,,
202311,DENGUE,2023,11,True,119,,,,
202312,DENGUE,2023,12,True,134,,,,
202313,DENGUE,2023,13,True,169,,,,
202314,DENGUE,2023,14,True,86,,,,
202315,DENGUE,2023,15,True,124,,,,
202316,DENGUE,2023,16,True,82,,,,
202317,DENGUE,2023,17,True,108,,,,
202318,DENGUE,2023,18,True,54,,,,
202319,DENGUE,2023,19,True,65,,,,
202320,DENGUE,2023,20,True,82,,,,
202321,DENGUE,2023,21,True,64,,,,
202322,DENGUE,2023,22,True,46,,,,
202323,DENGUE,2023,23,True,32,,,,
202324,DENGUE,2023,24,True,44,,,,
202325,DENGUE,2023,25,True,47,,,,
202326,DENGUE,2023,26,True,48,,,,
202327,DENGUE,2023,27,True,57,,,,
202328,DENGUE,2023,28,True,97,,,,
202329,DENGUE,2023,29,True,62,,,,
202330,DENGUE,2023,30,True,44,,,,
202331,DENGUE,2023,31,True,73,,,,
202332,DENGUE,2023,32,True,88,,,,
202333,DENGUE,2023,33,True,90,,,,
202334,DENGUE,2023,34,True,76,,,,
202335,DENGUE,2023,35,True,63,,,,
202336,DENGUE,2023,36,True,56,,,,
202337,DENGUE,2023,37,True,78,,,,
202338,DENGUE,2023,38,True,65,,,,
202339,DENGUE,2023,39,True,55,,,,
202340,DENGUE,2023,40,True,58,,,,
202341,DENGUE,2023,41,True,64,,,,
202342,DENGUE,2023,42,True,95,,,,
202343,DENGUE,2023,43,True,56,,,,
202344,DENGUE,2023,44,True,51,,,,
202345,DENGUE,2023,45,True,69,,,,
202346,DENGUE,2023,46,True,50,,,,
202347,DENGUE,2023,47,True,69,,,,
202348,DENGUE,2023,48,True,56,,,,
202349,DENGUE,2023,49,True,46,,,,
202350,DENGUE,2023,50,True,56,,,,
202351,DENGUE,2023,51,True,74,,,,
202352,DENGUE,2023,52,True,47,,,,
202401,DENGUE,2024,1,True,30,,,,
202402,DENGUE,2024,2,True,59,,,,
202403,DENGUE,2024,3,True,52,,,,
202404,DENGUE,2024,4,True,76,,,,
202405,DENGUE,2024,5,True,74,,,,
202406,DENGUE,2024,6,True,119,,,,
202407,DENGUE,2024,7,True,135,,,,
202408,DENGUE,2024,8,True,435,,,,
202409,DENGUE,2024,9,True,582,,,,
202410,DENGUE,2024,10,True,542,,,,
202411,DENGUE,2024,11,True,726,,,,
202412,DENGUE,2024,12,True,578,,,,
202413,DENGUE,2024,13,True,411,,,,
202414,DENGUE,2024,14,True,468,,,,
202415,DENGUE,2024,15,True,604,,,,
202416,DENGUE,2024,16,True,474,,,,
202417,DENGUE,2024,17,True,316,,,,
202418,DENGUE,2024,18,True,296,,,,
202419,DENGUE,2024,19,True,198,,,,
202420,DENGUE,2024,20,True,183,,,,
202421,DENGUE,2024,21,True,260,,,,
202422,DENGUE,2024,22,True,190,,,,
202423,DENGUE,2024,23,True,201,,,,
202424,DENGUE,2024,24,True,224,,,,
202425,DENGUE,2024,25,True,242,,,,
202426,DENGUE,2024,26,True,206,,,,
202427,DENGUE,2024,27,True,184,,,,
202428,DENGUE,2024,28,True,224,,,,
202429,DENGUE,2024,29,True,110,,,,
202430,DENGUE,2024,30,True,140,,,,
202431,DENGUE,2024,31,True,128,,,,
202432,DENGUE,2024,32,True,107,,,,
202433,DENGUE,2024,33,True,135,,,,
202434,DENGUE,2024,34,True,139,,,,
202435,DENGUE,2024,35,True,141,,,,
202436,DENGUE,2024,36,True,102,,,,
202437,DENGUE,2024,37,True,84,,,,
202438,DENGUE,2024,38,True,63,,,,
202439,DENGUE,2024,39,True,87,,,,
202440,DENGUE,2024,40,True,97,,,,
202441,DENGUE,2024,41,True,86,,,,
202442,DENGUE,2024,42,True,102,,,,
202443,DENGUE,2024,43,True,76,,,,
202444,DENGUE,2024,44,True,95,,,,
202445,DENGUE,2024,45,True,158,,,,
202446,DENGUE,2024,46,True,81,,,,
202447,DENGUE,2024,47,True,105,,,,
202448,DENGUE,2024,48,True,95,,,,
